id,source,comment,sentiment
24,YouTube,"Hi👋🏻 I just want to take a moment to thank you for the incredible content you create. Your work isn’t just educational—it’s truly inspiring. ✨ The way you break things down with such clarity and precision makes learning from you an amazing experience. My twin sister and I are both passionate about this field, and we’ve been following your lessons closely, taking notes 📝, and applying what we learn. Our dream is to become cabin crew ✈️ and build a better future for ourselves and our family. Your guidance has been a big part of our journey, helping us develop the right mindset and skills. 💡 The only challenge we face is access—since we live in Iran, international payments don’t work for us, and with the low value of our currency, it’s nearly impossible for us to afford the resources on your website. That’s why I wanted to reach out and ask if there’s any way you’d consider giving us access to your content for free. It would mean the world to us—not as a favor, but as an opportunity to learn, grow, and use this knowledge to create something meaningful. 🌍 Regardless of your decision, I just want you to know that your work is making a real difference. Thank you for everything you do, and I wish you and your family all the success and happiness in the world. 💙 With gratitude from Iran, Negin",
25,YouTube,He’s just speaking for himself. Was a cabin crew for 12 years and absolutely loved it. First year or 2 is difficult and then things get much better. This was my experience.,
26,YouTube,What was your observations of the flight crew? Could you say the same things impacted them just the same?,
27,YouTube,"You're completely right, I don't even work for global airline. Only fly around Asia Pacific, hitting my almost 5 years of flying and honestly I'm completely done😂 Would prefer to do something else, if I can find something better. Not much options within where I live, as I live in one of those developing country. Fingers crossed I can find something better abroad🤞",
28,YouTube,"3k, alot of money? You can make 6k as an Uber driver. This is a typical pattern for this type of job...the lifestyle is the drug that people get addicted to...like Club Med workers or cruise ship workers. A close friend did 12 years on cruise ships...she does not have a single dollar to show for all that work as she spent it...the stresses of working 18+ hours a day means spending all the money to make yourself feel better. Thank you for your honesty.",
29,YouTube,Hi! I really enjoy listening to your opinion about Emirates as I was considering becoming a crew for the airline. What was your opinion on the work environment and how the company treat you if you are sick? Thank you in advance!,
30,YouTube,"Qatar, Emirate,Saudi , Riyadh , flydubai etc........Middle East airlines consider you as salvor. They think they have right to fire all of you anytime, that’s the reason has NO Union. So I compare salary actually not so high. In desert ( I have been those countries) nobody want to Stay so those airline provide bus, housing allowance etc but most of flights depart at night, Minimum rest hours etc your health rapidly deteriorate and it affect your life too. Do not join Middle East airlines most important thing Islamic country, why you never bothered ?? You just lose your health , youth in dry desert !,",
31,YouTube,Ex EK purser here. Never met you at work though. I enjoyed watching your articulate presentation. Well-done & all the best. 🙂,
32,YouTube,Life has changed. Back in the hay day people would do anything to be working as a airhostess or cabin crew. Today its just a glorified waitress or waitor. Your life is more important your health is important its very unhealthy to do this job for more than 7 years.,
33,YouTube,I think after a while with a lot of jobs you outgrown them... and especially if it’s costing you money like no pension and can’t buy a home and stuff,
